path,class,prompt,source_id
images/artbench_0000_post_impressionism.jpg,post_impressionism,a post-impressionism painting,0
images/artbench_0001_post_impressionism.jpg,post_impressionism,a post-impressionism painting,1
images/artbench_0002_post_impressionism.jpg,post_impressionism,a post-impressionism painting,2
images/artbench_0003_post_impressionism.jpg,post_impressionism,a post-impressionism painting,3
images/artbench_0004_post_impressionism.jpg,post_impressionism,a post-impressionism painting,4
images/artbench_0005_post_impressionism.jpg,post_impressionism,a post-impressionism painting,5
images/artbench_0006_post_impressionism.jpg,post_impressionism,a post-impressionism painting,6
images/artbench_0007_post_impressionism.jpg,post_impressionism,a post-impressionism painting,7
images/artbench_0008_post_impressionism.jpg,post_impressionism,a post-impressionism painting,8
images/artbench_0009_post_impressionism.jpg,post_impressionism,a post-impressionism painting,9
images/artbench_0010_post_impressionism.jpg,post_impressionism,a post-impressionism painting,10
images/artbench_0011_post_impressionism.jpg,post_impressionism,a post-impressionism painting,11
images/artbench_0012_post_impressionism.jpg,post_impressionism,a post-impressionism painting,12
images/artbench_0013_post_impressionism.jpg,post_impressionism,a post-impressionism painting,13
images/artbench_0014_post_impressionism.jpg,post_impressionism,a post-impressionism painting,14
images/artbench_0015_post_impressionism.jpg,post_impressionism,a post-impressionism painting,15
images/artbench_0016_post_impressionism.jpg,post_impressionism,a post-impressionism painting,16
images/artbench_0017_post_impressionism.jpg,post_impressionism,a post-impressionism painting,17
images/artbench_0018_post_impressionism.jpg,post_impressionism,a post-impressionism painting,18
images/artbench_0019_post_impressionism.jpg,post_impressionism,a post-impressionism painting,19
images/artbench_0020_post_impressionism.jpg,post_impressionism,a post-impressionism painting,20
images/artbench_0021_post_impressionism.jpg,post_impressionism,a post-impressionism painting,21
images/artbench_0022_post_impressionism.jpg,post_impressionism,a post-impressionism painting,22
images/artbench_0023_post_impressionism.jpg,post_impressionism,a post-impressionism painting,23
images/artbench_0024_post_impressionism.jpg,post_impressionism,a post-impressionism painting,24
images/artbench_0025_post_impressionism.jpg,post_impressionism,a post-impressionism painting,25
images/artbench_0026_post_impressionism.jpg,post_impressionism,a post-impressionism painting,26
images/artbench_0027_post_impressionism.jpg,post_impressionism,a post-impressionism painting,27
images/artbench_0028_post_impressionism.jpg,post_impressionism,a post-impressionism painting,28
images/artbench_0029_post_impressionism.jpg,post_impressionism,a post-impressionism painting,29
images/artbench_0030_post_impressionism.jpg,post_impressionism,a post-impressionism painting,30
images/artbench_0031_post_impressionism.jpg,post_impressionism,a post-impressionism painting,31
images/artbench_0032_post_impressionism.jpg,post_impressionism,a post-impressionism painting,32
images/artbench_0033_post_impressionism.jpg,post_impressionism,a post-impressionism painting,33
images/artbench_0034_post_impressionism.jpg,post_impressionism,a post-impressionism painting,34
images/artbench_0035_post_impressionism.jpg,post_impressionism,a post-impressionism painting,35
images/artbench_0036_post_impressionism.jpg,post_impressionism,a post-impressionism painting,36
images/artbench_0037_post_impressionism.jpg,post_impressionism,a post-impressionism painting,37
images/artbench_0038_post_impressionism.jpg,post_impressionism,a post-impressionism painting,38
images/artbench_0039_post_impressionism.jpg,post_impressionism,a post-impressionism painting,39
images/artbench_0040_post_impressionism.jpg,post_impressionism,a post-impressionism painting,40
images/artbench_0041_post_impressionism.jpg,post_impressionism,a post-impressionism painting,41
images/artbench_0042_post_impressionism.jpg,post_impressionism,a post-impressionism painting,42
images/artbench_0043_post_impressionism.jpg,post_impressionism,a post-impressionism painting,43
images/artbench_0044_post_impressionism.jpg,post_impressionism,a post-impressionism painting,44
images/artbench_0045_post_impressionism.jpg,post_impressionism,a post-impressionism painting,45
images/artbench_0046_post_impressionism.jpg,post_impressionism,a post-impressionism painting,46
images/artbench_0047_post_impressionism.jpg,post_impressionism,a post-impressionism painting,47
images/artbench_0048_post_impressionism.jpg,post_impressionism,a post-impressionism painting,48
images/artbench_0049_post_impressionism.jpg,post_impressionism,a post-impressionism painting,49
images/artbench_0050_post_impressionism.jpg,post_impressionism,a post-impressionism painting,50
images/artbench_0051_post_impressionism.jpg,post_impressionism,a post-impressionism painting,51
images/artbench_0052_post_impressionism.jpg,post_impressionism,a post-impressionism painting,52
images/artbench_0053_post_impressionism.jpg,post_impressionism,a post-impressionism painting,53
images/artbench_0054_post_impressionism.jpg,post_impressionism,a post-impressionism painting,54
images/artbench_0055_post_impressionism.jpg,post_impressionism,a post-impressionism painting,55
images/artbench_0056_post_impressionism.jpg,post_impressionism,a post-impressionism painting,56
images/artbench_0057_post_impressionism.jpg,post_impressionism,a post-impressionism painting,57
images/artbench_0058_post_impressionism.jpg,post_impressionism,a post-impressionism painting,58
images/artbench_0059_post_impressionism.jpg,post_impressionism,a post-impressionism painting,59
images/artbench_0060_post_impressionism.jpg,post_impressionism,a post-impressionism painting,60
images/artbench_0061_post_impressionism.jpg,post_impressionism,a post-impressionism painting,61
images/artbench_0062_post_impressionism.jpg,post_impressionism,a post-impressionism painting,62
images/artbench_0063_post_impressionism.jpg,post_impressionism,a post-impressionism painting,63
images/artbench_0064_post_impressionism.jpg,post_impressionism,a post-impressionism painting,64
images/artbench_0065_post_impressionism.jpg,post_impressionism,a post-impressionism painting,65
images/artbench_0066_post_impressionism.jpg,post_impressionism,a post-impressionism painting,66
images/artbench_0067_post_impressionism.jpg,post_impressionism,a post-impressionism painting,67
images/artbench_0068_post_impressionism.jpg,post_impressionism,a post-impressionism painting,68
images/artbench_0069_post_impressionism.jpg,post_impressionism,a post-impressionism painting,69
images/artbench_0070_post_impressionism.jpg,post_impressionism,a post-impressionism painting,70
images/artbench_0071_post_impressionism.jpg,post_impressionism,a post-impressionism painting,71
images/artbench_0072_post_impressionism.jpg,post_impressionism,a post-impressionism painting,72
images/artbench_0073_post_impressionism.jpg,post_impressionism,a post-impressionism painting,73
images/artbench_0074_post_impressionism.jpg,post_impressionism,a post-impressionism painting,74
images/artbench_0075_post_impressionism.jpg,post_impressionism,a post-impressionism painting,75
images/artbench_0076_post_impressionism.jpg,post_impressionism,a post-impressionism painting,76
images/artbench_0077_post_impressionism.jpg,post_impressionism,a post-impressionism painting,77
images/artbench_0078_post_impressionism.jpg,post_impressionism,a post-impressionism painting,78
images/artbench_0079_post_impressionism.jpg,post_impressionism,a post-impressionism painting,79
images/artbench_0080_post_impressionism.jpg,post_impressionism,a post-impressionism painting,80
images/artbench_0081_post_impressionism.jpg,post_impressionism,a post-impressionism painting,81
images/artbench_0082_post_impressionism.jpg,post_impressionism,a post-impressionism painting,82
images/artbench_0083_post_impressionism.jpg,post_impressionism,a post-impressionism painting,83
images/artbench_0084_post_impressionism.jpg,post_impressionism,a post-impressionism painting,84
images/artbench_0085_post_impressionism.jpg,post_impressionism,a post-impressionism painting,85
images/artbench_0086_post_impressionism.jpg,post_impressionism,a post-impressionism painting,86
images/artbench_0087_post_impressionism.jpg,post_impressionism,a post-impressionism painting,87
images/artbench_0088_post_impressionism.jpg,post_impressionism,a post-impressionism painting,88
images/artbench_0089_post_impressionism.jpg,post_impressionism,a post-impressionism painting,89
images/artbench_0090_post_impressionism.jpg,post_impressionism,a post-impressionism painting,90
images/artbench_0091_post_impressionism.jpg,post_impressionism,a post-impressionism painting,91
images/artbench_0092_post_impressionism.jpg,post_impressionism,a post-impressionism painting,92
images/artbench_0093_post_impressionism.jpg,post_impressionism,a post-impressionism painting,93
images/artbench_0094_post_impressionism.jpg,post_impressionism,a post-impressionism painting,94
images/artbench_0095_post_impressionism.jpg,post_impressionism,a post-impressionism painting,95
images/artbench_0096_post_impressionism.jpg,post_impressionism,a post-impressionism painting,96
images/artbench_0097_post_impressionism.jpg,post_impressionism,a post-impressionism painting,97
images/artbench_0098_post_impressionism.jpg,post_impressionism,a post-impressionism painting,98
images/artbench_0099_post_impressionism.jpg,post_impressionism,a post-impressionism painting,99
images/artbench_0100_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,100
images/artbench_0101_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,101
images/artbench_0102_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,102
images/artbench_0103_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,103
images/artbench_0104_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,104
images/artbench_0105_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,105
images/artbench_0106_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,106
images/artbench_0107_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,107
images/artbench_0108_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,108
images/artbench_0109_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,109
images/artbench_0110_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,110
images/artbench_0111_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,111
images/artbench_0112_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,112
images/artbench_0113_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,113
images/artbench_0114_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,114
images/artbench_0115_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,115
images/artbench_0116_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,116
images/artbench_0117_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,117
images/artbench_0118_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,118
images/artbench_0119_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,119
images/artbench_0120_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,120
images/artbench_0121_ukiyo_e.jpg,ukiyo_e,a ukiyo-e painting,121
